Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_625_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Weekday Evening,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$189.04,$195.09,$195.09,$195.09,$195.09,$195.09,$195.09,$195.09,$273.13,$292.64,Y,Y,Y,Y,N,Price Limited Supports
01_626_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Saturday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$252.51,$252.51,$252.51,$252.51,$252.51,$252.51,$252.51,$252.51,$353.51,$378.77,Y,Y,Y,Y,N,Price Limited Supports
01_627_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Sunday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$290.33,$290.33,$290.33,$290.33,$290.33,$290.33,$290.33,$290.33,$406.46,$435.50,Y,Y,Y,Y,N,Price Limited Supports
01_628_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Public Holiday,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$328.16,$328.16,$328.16,$328.16,$328.16,$328.16,$328.16,$328.16,$459.42,$492.24,Y,Y,Y,Y,N,Price Limited Supports
01_629_0114_1_1,Delivery of Health Supports by a Nurse Practitioner - Weekday Night,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,99991231,$198.75,$198.75,$198.75,$198.75,$198.75,$198.75,$198.75,$198.75,$278.25,$298.13,Y,Y,Y,Y,N,Price Limited Supports
01_650_0118_1_3,Assessment Recommendation Therapy or Training - EC - Occupational Therapist,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
01_653_0118_1_3,Assessment Recommendation Therapy or Training - EC - Speech Pathologist,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
01_661_0128_1_3,Assessment Recommendation Therapy or Training Supports - Occupational Therapist,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
01_663_0118_1_3,Assessment Recommendation Therapy or Training - EC - Podiatrist,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$264.59,$283.49,Y,Y,Y,Y,N,Price Limited Supports
01_663_0128_1_3,Assessment Recommendation Therapy or Training Supports - Podiatrist,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$264.59,$283.49,Y,Y,Y,Y,N,Price Limited Supports
01_665_0128_1_3,Assessment Recommendation Therapy or Training Supports - Speech Pathologist,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
01_700_0118_1_3,Assessment Recommendation Therapy or Training - EC - Psychologist,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$232.99,$232.99,$232.99,$232.99,$232.99,$232.99,$232.99,$232.99,$326.19,$349.49,Y,Y,Y,Y,N,Price Limited Supports
01_701_0128_1_3,Assessment Recommendation Therapy or Training Supports - Psychologist,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$232.99,$232.99,$232.99,$232.99,$232.99,$232.99,$232.99,$232.99,$326.19,$349.49,Y,Y,Y,Y,N,Price Limited Supports
01_720_0118_1_3,Assessment Recommendation Therapy or Training - EC - Physiotherapist,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$183.99,$183.99,$183.99,$183.99,$183.99,$183.99,$183.99,$183.99,$257.59,$275.99,Y,Y,Y,Y,N,Price Limited Supports
01_721_0128_1_3,Assessment Recommendation Therapy or Training Supports - Physiotherapist,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$183.99,$183.99,$183.99,$183.99,$183.99,$183.99,$183.99,$183.99,$257.59,$275.99,Y,Y,Y,Y,N,Price Limited Supports
01_740_0118_1_3,Assessment Recommendation Therapy or Training - EC - Other Professional,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
01_741_0128_1_3,Assessment Recommendation Therapy or Training Supports - Other Professional,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
01_760_0118_1_3,Assessment Recommendation Therapy or Training - EC - Dietitian,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$264.59,$283.49,Y,Y,Y,Y,N,Price Limited Supports
01_760_0128_3_3,Assessment Recommendation Therapy or Training Supports - Dietitian,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,H,No,20240701,20250630,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$188.99,$264.59,$283.49,Y,Y,Y,Y,N,Price Limited Supports
01_799_0102_1_1,Provider travel - non-labour costs,102,Assistance to Access and Maintain Employment or higher education,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0104_1_1,Provider travel - non-labour costs,104,High Intensity Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0106_1_1,Provider travel - non-labour costs,106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0107_1_1,Provider travel - non-labour costs,107,Daily Personal Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0110_1_1,Provider travel - non-labour costs,110,Specialist Positive Behaviour Support,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0114_1_1,Provider travel - non-labour costs,114,Community Nursing Care,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0115_1_1,Provider travel - non-labour costs,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0117_8_1,Provider travel - non-labour costs,117,Development Of Daily Living And Life Skills,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0118_1_1,Provider travel - non-labour costs,118,Early Intervention Supports For Early Childhood,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0119_1_1,Provider travel - non-labour costs,119,Specialised Hearing Services,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0120_1_1,Provider travel - non-labour costs,120,Household Tasks,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0126_1_1,Provider travel - non-labour costs,126,Exercise Physiology & Personal Well-being Activities,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0128_1_1,Provider travel - non-labour costs,128,Therapeutic Supports,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0129_1_1,Provider travel - non-labour costs,129,Specialised Driver Training,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0132_1_1,Provider travel - non-labour costs,132,Support Coordination,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0134_1_1,Provider travel - non-labour costs,134,Hearing Services,1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_799_0135_1_1,Provider travel - non-labour costs,135,Customised Prosthetics (includes Orthotics),1,1,Assistance with Daily Life (Includes SIL),Assistance with Daily Life,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
01_801_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Daytime,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$70.23,$98.32,$105.35,Y,Y,Y,N,Y,Price Limited Supports
01_802_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Evening,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$77.38,$108.33,$116.07,Y,Y,Y,N,Y,Price Limited Supports
01_803_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Night,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$78.81,$110.33,$118.22,Y,Y,Y,N,Y,Price Limited Supports
01_804_0115_1_1,Assistance in Supported Independent Living - Standard - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$98.83,$138.36,$148.25,Y,Y,Y,N,Y,Price Limited Supports
01_805_0115_1_1,Assistance in Supported Independent Living - Standard - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$127.43,$178.40,$191.15,Y,Y,Y,N,Y,Price Limited Supports
01_806_0115_1_1,Assistance in Supported Independent Living - Standard - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$156.03,$218.44,$234.05,Y,Y,Y,N,Y,Price Limited Supports
01_811_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Daytime,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$75.98,$106.37,$113.97,Y,Y,Y,N,Y,Price Limited Supports
01_812_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Evening,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$83.72,$117.21,$125.58,Y,Y,Y,N,Y,Price Limited Supports
01_813_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Night,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$85.27,$85.27,$85.27,$85.27,$85.27,$85.27,$85.27,$85.27,$119.38,$127.91,Y,Y,Y,N,Y,Price Limited Supports
01_814_0115_1_1,Assistance in Supported Independent Living - High Intensity - Saturday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$106.93,$149.70,$160.40,Y,Y,Y,N,Y,Price Limited Supports
01_815_0115_1_1,Assistance in Supported Independent Living - High Intensity - Sunday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$137.87,$193.02,$206.81,Y,Y,Y,N,Y,Price Limited Supports
01_816_0115_1_1,Assistance in Supported Independent Living - High Intensity - Public Holiday,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$168.81,$236.33,$253.22,Y,Y,Y,N,Y,Price Limited Supports
01_821_0115_1_1,Assistance in Supported Independent Living - Weekly,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,No,20240701,99991231,,,,,,,,,,,N,N,Y,N,Y,Price Limited Supports
01_822_0115_1_1,Assistance in Supported Independent Living - Exit Accommodation Permanently,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,Price Limited Supports
01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,E,No,20240701,99991231,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$297.60,$416.64,$446.40,Y,Y,Y,N,Y,Price Limited Supports
01_850_0106_1_1,Individualised Living Options - Exploration and Design,106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20240701,99991231,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$140.19,$150.21,Y,Y,Y,Y,N,Price Limited Supports
01_851_0115_1_1,Individualised Living Options - Support Model,115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
02_050_0108_1_1,Specialised Transport To School/Educational Facility/Employment/Community,108,Assistance With Travel/Transport Arrangements,2,2,Transport,Transport,D,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
02_051_0108_1_1,Transport,108,Assistance With Travel/Transport Arrangements,2,2,Transport,Transport,YR,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_040000111_0103_1_1,Disability-Related Health Consumables - High Cost,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,Yes,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
03_040000919_0103_1_1,Disability-Related Health Consumables - Low Cost,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_050903053_0103_1_1,Incontinence Alarms,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_060000911_0135_1_1,Low Cost AT - Prosthetics And Orthotics,135,Customised Prosthetics (includes Orthotics),3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_089_0121_1_1,Auslan Or Signed English Training,121,Interpreting And Translation,3,3,Consumables,Consumables,H,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
03_090_0121_1_1,Interpreting And Translating,121,Interpreting And Translation,3,3,Consumables,Consumables,H,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
03_090000911_0103_1_1,Low Cost AT - Personal Care And Safety,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_091_0121_1_1,Telephone Or Video Interpreting,121,Interpreting And Translation,3,3,Consumables,Consumables,H,No,20240701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
03_091800084_0103_1_1,Continence - bowel care,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_092100082_0103_1_1,Continence - consumables,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_092400080_0103_1_1,Continence - catheters/sheaths,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_092700081_0103_1_1,Continence - drain/leg bags,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_092700083_0103_1_1,Continence - urinary collection items and accessories,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_093021078_0103_1_1,Continence - reusable/washable personal protection,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_093021079_0103_1_1,Continence - disposable personal protection,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_093040085_0103_1_1,Continence - bed/chair/floor protection,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_120000911_0105_1_1,Low Cost AT - Personal Mobility,105,Personal Mobility Equipment,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_150930078_0103_1_1,HEN - pump plus accessory - syringe feed,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930079_0103_1_1,HEN - pump plus accessory - non-syringe feed,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930080_0103_1_1,HEN - bolus syringes,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930081_0103_1_1,HEN - gastrostomy devices,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930082_0103_1_1,Additional Extension Sets For Bolus Feeding - 10/Annual,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930083_0103_1_1,Additional Extension Sets For Pump Feeding - 10/Annual,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930084_0103_1_1,HEN - giving sets,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930085_0103_1_1,HEN - containers,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930086_0103_1_1,Additional Bolus Syringes - 100/Annual,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930087_0103_1_1,HEN - water flush syringes,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_150930088_0103_1_1,HEN - Other equipment,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
03_220300911_0113_1_1,Low Cost AT - Vision Related AT,113,Vision Equipment,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_220600911_0122_1_1,Low Cost AT - Hearing Related AT,122,Hearing Equipment,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_222100911_0124_1_1,Low Cost AT - Communication Or Cognitive Support,124,Communication And Information Equipment,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_501509092_0103_1_1,Repairs and Maintenance - HEN AT,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_710930080_0103_1_1,Delivery - Personal care Safety and Disability-related HealthConsumables,103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20240701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_900100155_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,130,Assistance Animals,3,3,Consumables,Consumables,MON,No,20240701,99991231,,,,,,,,,,,N,N,N,N,N,
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,"$1,053.45",N,N,N,N,N,Price Limited Supports
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,"$1,053.45",N,N,N,N,N,Price Limited Supports
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20240701,99991231,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$702.30,$983.22,"$1,053.45",N,N,N,N,N,Price Limited Supports
